Date,Series,Open,High,Low,Prev_Close,Ltp,Close,Vwap,52W_H,52W_L,Volume,Value,No_Of_Trades,Day,Month,Year,Percent_Change_In_Price,Momentum_Indicator,High_Low_Change,High_Open_Change,Low_Open_Change
2019-02-04,GB,3010.0,3010.0,3000.0,3016.0,3000.0,3000.0,3003.85,3100.0,2511.29,65,195250.0,2,4,2,2019,-0.09090909090909094,-0.0033222591362126247,0.0033333333333333335,0.0,-0.0033222591362126247
2019-02-01,GB,3016.0,3016.0,3016.0,3016.0,3016.0,3016.0,3016.0,3100.0,2511.29,5,15080.0,1,1,2,2019,0.005333333333333412,0.0,0.0,0.0,0.0
2019-01-30,GB,3016.0,3016.0,3016.0,2950.0,3016.0,3016.0,3016.0,3100.0,2511.29,47,141752.0,1,30,1,2019,0.0,0.0,0.0,0.0,0.0
2019-01-23,GB,2960.0,2960.0,2950.0,2960.0,2950.0,2950.0,2950.53,3100.0,2511.29,19,56060.0,3,23,1,2019,-0.021883289124668415,-0.0033783783783783786,0.003389830508474576,0.0,-0.0033783783783783786
2019-01-22,GB,2960.0,2960.0,2960.0,2940.0,2960.0,2960.0,2960.0,3100.0,2511.29,12,35520.0,1,22,1,2019,0.003389830508474523,0.0,0.0,0.0,0.0
2019-01-21,GB,2940.0,2940.0,2940.0,2980.0,2940.0,2940.0,2940.0,3100.0,2511.29,30,88200.0,1,21,1,2019,-0.006756756756756799,0.0,0.0,0.0,0.0
2019-01-18,GB,2980.0,2980.0,2980.0,2920.2,2980.0,2980.0,2980.0,3100.0,2511.29,3,8940.0,2,18,1,2019,0.013605442176870763,0.0,0.0,0.0,0.0
2019-01-17,GB,2921.0,2921.0,2920.0,2920.0,2920.0,2920.2,2920.2,3100.0,2511.29,5,14601.0,2,17,1,2019,-0.02006711409395978,-0.0002738788086272447,0.00034246575342465754,0.0,-0.00034234851078397807
2019-01-15,GB,2920.0,2920.0,2920.0,2825.0,2920.0,2920.0,2920.0,3100.0,2511.29,35,102200.0,3,15,1,2019,-6.848845969442685e-05,0.0,0.0,0.0,0.0
2019-01-11,GB,2825.0,2825.0,2825.0,2825.0,2825.0,2825.0,2825.0,3100.0,2511.29,68,192100.0,2,11,1,2019,-0.03253424657534243,0.0,0.0,0.0,0.0
2019-01-10,GB,2825.0,2825.0,2825.0,2811.0,2825.0,2825.0,2825.0,3100.0,2511.29,10,28250.0,1,10,1,2019,0.0,0.0,0.0,0.0,0.0
2019-01-09,GB,2850.0,2850.0,2811.0,2751.25,2811.0,2811.0,2824.0,3100.0,2511.29,3,8472.0,2,9,1,2019,-0.004955752212389419,-0.01368421052631579,0.013874066168623266,0.0,-0.01368421052631579
2019-01-07,GB,2751.25,2751.25,2751.25,3055.0,2751.25,2751.25,2751.25,3100.0,2511.29,1,2751.25,1,7,1,2019,-0.021255780860903628,0.0,0.0,0.0,0.0
2019-01-03,GB,3055.0,3055.0,3055.0,2780.0,3055.0,3055.0,3055.0,3100.0,2511.29,2,6110.0,1,3,1,2019,0.11040436165379375,0.0,0.0,0.0,0.0
2021-01-01,GB,4860.0,4933.99,4860.0,4935.17,4933.99,4933.99,4912.11,5399.0,3615.0,74,363495.9,15,1,1,2021,0.6150540098199673,0.0152242798353909,0.0152242798353909,0.0152242798353909,0.0
2020-12-31,GB,4924.9,4940.0,4840.0,4889.0,4920.0,4935.17,4925.29,5399.0,3615.0,164,807747.65,21,31,12,2020,0.0002391573554061388,0.0020853215293712437,0.02066115702479339,0.003066052102580837,-0.017238928709212297
2020-12-30,GB,4890.0,4892.9,4880.0,4894.0,4889.0,4889.0,4886.59,5399.0,3615.0,182,889359.9,17,30,12,2020,-0.009355300830569124,-0.00020449897750511248,0.002643442622950745,0.0005930470347647518,-0.002044989775051125
2020-12-29,GB,4935.9,4937.0,4860.0,4872.8,4894.0,4894.0,4888.11,5399.0,3615.0,89,435041.8,13,29,12,2020,0.0010227040294539247,-0.00848882675905096,0.015843621399176954,0.00022285702708733237,-0.015377134869020774
2020-12-28,GB,4896.89,4896.9,4860.0,4850.0,4888.0,4872.8,4882.75,5399.0,3615.0,60,292965.14,11,28,12,2020,-0.004331834899877318,-0.004919448874693968,0.007592592592592518,2.042112442654171e-06,-0.007533352801472021
2020-12-24,GB,4860.0,4860.0,4840.0,4820.0,4850.0,4850.0,4845.82,5399.0,3599.0,110,533040.0,6,24,12,2020,-0.00467903464127406,-0.00205761316872428,0.004132231404958678,0.0,-0.00411522633744856
2020-12-23,GB,4870.0,4870.0,4820.0,4837.23,4820.0,4820.0,4824.52,5399.0,3599.0,73,352189.8,5,23,12,2020,-0.006185567010309256,-0.01026694045174538,0.01037344398340249,0.0,-0.01026694045174538
2020-12-22,GB,4820.0,4879.9,4820.0,4821.0,4835.0,4837.23,4827.15,5399.0,3599.0,290,1399874.18,35,22,12,2020,0.0035746887966803254,0.0035746887966804073,0.012427385892116108,0.012427385892116108,0.0
2020-12-21,GB,4830.0,4830.0,4815.0,4800.0,4821.0,4821.0,4826.78,5399.0,3599.0,83,400623.0,7,21,12,2020,-0.003355226028119329,-0.0018633540372670807,0.003115264797507788,0.0,-0.003105590062111801
2020-12-18,GB,4800.0,4806.0,4800.0,4797.0,4800.0,4800.0,4800.26,5399.0,3580.05,70,336018.0,22,18,12,2020,-0.00435594275046669,0.0,0.00125,0.00125,0.0
2020-12-17,GB,4765.0,4797.0,4765.0,4751.0,4797.0,4797.0,4786.42,5399.0,3580.05,19,90942.0,6,17,12,2020,-0.0006249999999999867,0.0067156348373557185,0.0067156348373557185,0.0067156348373557185,0.0
2020-12-16,GB,4750.0,4768.0,4750.0,4749.0,4751.0,4751.0,4755.5,5399.0,3580.05,60,285330.0,4,16,12,2020,-0.009589326662497344,0.0002105263157894737,0.003789473684210526,0.003789473684210526,0.0
2020-12-15,GB,4749.9,4749.9,4713.15,4749.0,4749.0,4749.0,4748.66,5399.0,3580.05,220,1044704.75,17,15,12,2020,-0.0004209640075774068,-0.00018947767321409636,0.007797332993857611,0.0,-0.0077370049895787284
2020-12-14,GB,4736.25,4749.0,4736.25,4736.25,4749.0,4749.0,4746.11,5399.0,3580.05,53,251544.0,6,14,12,2020,0.0,0.0026920031670625497,0.0026920031670625497,0.0026920031670625497,0.0
2020-12-11,GB,4735.0,4745.0,4730.0,4735.0,4745.0,4736.25,4740.27,5399.0,3562.0,162,767923.55,19,11,12,2020,-0.002684775742261558,0.00026399155227032733,0.003171247357293869,0.0021119324181626186,-0.0010559662090813093
2020-12-10,GB,4730.0,4740.0,4725.8,4738.83,4735.0,4735.0,4733.73,5399.0,3562.0,101,478106.8,21,10,12,2020,-0.0002639218791238296,0.0010570824524312897,0.00300478225908837,0.0021141649048625794,-0.0008879492600422449
2020-12-09,GB,4750.0,4750.0,4710.0,4715.0,4750.0,4738.83,4722.64,5399.0,3562.0,1193,5634107.33,78,9,12,2020,0.0008088701161561573,-0.0023515789473684363,0.008492569002123142,0.0,-0.008421052631578947
